date,sPlayed
2020-09-19,3243.6870000000004
2020-09-20,3910.513
2020-12-03,1370.6550000000002
2020-12-04,879.012
2020-12-05,1330.7830000000001
2020-12-06,4268.7570000000005
2020-12-07,1727.9920000000002
2020-12-10,3715.8949999999995
2020-12-12,4650.536999999999
2020-12-14,303.21000000000004
2020-12-15,2190.5389999999998
2020-12-16,3043.463999999999
2020-12-18,734.7810000000002
2020-12-20,974.653
2020-12-21,1184.461
2020-12-22,4119.488000000001
2020-12-23,3372.2270000000003
2020-12-24,1400.107
2020-12-25,2476.575
2020-12-26,1256.5310000000002
2020-12-27,1128.622
2020-12-30,1733.684
2021-01-03,393.079
2021-01-05,1008.8760000000001
2021-01-07,1093.9470000000001
2021-01-08,1319.6240000000003
2021-01-09,1564.5350000000005
2021-01-10,3857.908999999999
2021-01-11,937.2209999999999
2021-01-12,2351.524
2021-01-13,2329.960999999999
2021-01-14,1240.064
2021-01-16,2668.1130000000003
2021-01-19,3116.3010000000004
2021-01-20,4011.749999999997
2021-01-21,3765.7599999999993
2021-01-22,2170.376000000001
2021-01-24,1438.208
2021-01-25,2152.499
2021-01-26,3181.6139999999996
2021-01-29,1335.34
2021-01-30,4222.630000000001
2021-02-01,5962.279000000005
2021-02-02,582.499
2021-02-03,2462.001000000001
2021-02-04,4264.032999999999
2021-02-05,3503.824
2021-02-06,4303.7890000000025
2021-02-07,1201.039
2021-02-09,1765.6899999999996
2021-02-10,2263.591
2021-02-11,1741.117
2021-02-12,2693.4170000000004
2021-02-13,4563.433999999999
2021-02-14,7634.182
2021-02-17,2382.518
2021-02-23,2110.869
2021-02-24,3631.1269999999995
2021-02-25,4055.2790000000005
2021-03-01,3015.6270000000004
2021-03-02,3500.9319999999993
2021-03-03,1557.813
2021-03-04,2796.5880000000016
2021-03-06,3507.4149999999995
2021-03-08,1815.618
2021-03-09,3223.921
2021-03-10,2748.219000000001
2021-03-13,2965.31
2021-03-21,1300.074
2021-03-23,178.925
2021-03-28,1159.5729999999996
2021-04-02,3490.0469999999987
2021-04-04,3534.8079999999995
2021-04-08,724.6899999999999
2021-04-09,3746.754
2021-04-11,1267.356
2021-04-12,2669.0629999999996
2021-04-13,1956.6919999999998
2021-04-17,1641.6940000000002
2021-04-19,476.61
2021-04-25,2301.064
2021-04-27,1353.4409999999998
2021-05-01,5867.744000000001
2021-05-02,2913.7380000000003
2021-05-03,2880.4860000000003
2021-05-04,516.03
2021-05-05,645.974
2021-05-08,680.1410000000001
2021-05-09,905.236
2021-05-10,313.257
2021-05-11,1464.5449999999998
2021-05-12,1698.5070000000003
2021-05-13,2625.7180000000003
2021-05-22,354.40099999999995
2021-05-29,1186.425
2021-06-05,1683.9040000000005
2021-06-06,1709.7820000000004
2021-06-19,120.81
2021-06-26,1602.5529999999999
2021-06-27,4331.962000000001
2021-07-02,938.3
2021-07-03,522.7320000000001
2021-07-11,804.7259999999998
2021-07-17,3131.6990000000005
2021-07-18,973.5219999999997
2021-07-25,1888.338
2021-07-28,505.1650000000001
2021-07-29,2360.027
2021-07-30,399.98
2021-08-08,1499.033
2021-08-14,2027.6119999999999
2021-08-15,3422.251000000001
2021-08-21,3630.3280000000004
2021-08-22,3965.547
2021-08-24,534.2280000000001
2021-08-26,958.471
2021-09-05,5502.788999999998
2021-09-06,3180.0649999999996
2021-09-13,143.878
2021-09-17,3467.0609999999992
